team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,5674,FC Arouca,FCA,,,,,,,
2,20477,AFS,AFS,,,,,,,
3,251,SL Benfica,SLB,,,,,,,
4,5191,Casa Pia AC,CPAC,,,,,,,
5,2003,CD Nacional,CDN,,,,,,,
6,2273,Estoril Praia,EPF,,,,,,,
7,17370,Estrela Amadora,CFEA,,,,,,,
8,6644,FC Famalicão,FCF,,,,,,,
9,666,Gil Vicente FC,GVFC,,,,,,,
10,3536,Moreirense FC,MFC,,,,,,,
11,2847,Rio Ave FC,RAFC,,,,,,,
12,3084,Santa Clara,CDSC,,,,,,,
13,372,SC Braga,SCB,,,,,,,
14,255,Sporting CP,SCP,,,,,,,
15,371,Vitória SC,VSC,,,,,,,
16,201,FC Porto,FCP,,,,,,,
17,3531,FC Alverca,ALV,,,,,,,
18,6685,CD Tondela,CDT,,,,,,,
